"inc_borough","cong_dist","al_source_desc","al_index_desc","highest_al_level","inc_class_group","inc_resp_min_qy","engines_assigned","ladders_assigned","others_units_assigned","emergency_min_qy","day_type","working_hour","time_of_day","tua_is_one"
"Bronx","14","CLASS-3","Initial Alarm","First Alarm","S_F",4.38333333333333,1,1,1,15.2,"Weekend","TRUE","Afternoon","FALSE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",4.41666666666667,0,1,0,11.4833333333333,"Weekend","TRUE","Afternoon","TRUE"
"Manhattan","10","PHONE","DEFAULT RECORD","First Alarm","NonM_MFAs",4.2,1,0,0,4.08333333333333,"Weekend","TRUE","Afternoon","TRUE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",4.36666666666667,1,2,2,20.7833333333333,"Weekend","TRUE","Afternoon","FALSE"
"Queens","6","EMS","Initial Alarm","First Alarm","M_E",11.3166666666667,1,0,0,28.9333333333333,"Weekend","TRUE","Afternoon","TRUE"
"Bronx","13","EMS","Initial Alarm","First Alarm","M_E",6.2,1,0,0,56.5,"Weekend","TRUE","Afternoon","TRUE"
"Queens","6","EMS","Initial Alarm","First Alarm","M_E",5.58333333333333,1,0,0,9.23333333333333,"Weekend","TRUE","Afternoon","TRUE"
"Queens","5","PHONE","Initial Alarm","First Alarm","S_F",3.38333333333333,3,2,1,10.6166666666667,"Weekend","TRUE","Afternoon","FALSE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",5.23333333333333,0,1,0,10,"Weekend","TRUE","Afternoon","TRUE"
"Queens","7","EMS","Initial Alarm","First Alarm","M_E",4.6,1,0,0,5.76666666666667,"Weekend","TRUE","Afternoon","TRUE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",6.06666666666667,1,1,0,11.8333333333333,"Weekend","TRUE","Afternoon","FALSE"
"Manhattan","12","PHONE","Initial Alarm","First Alarm","NonM_E",5.76666666666667,3,2,1,8.85,"Weekend","TRUE","Afternoon","FALSE"
"Brooklyn","9","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.73333333333333,3,2,1,6.25,"Weekend","TRUE","Afternoon","FALSE"
"Manhattan","12","PHONE","Initial Alarm","First Alarm","NonS_F",1.86666666666667,4,2,1,71.3833333333333,"Weekend","TRUE","Afternoon","FALSE"
